,timestamp,cylinder-number,customer,job-number,grain-screened,ink-color,proof-on-ctd-ink,blade-mfg,cylinder-division,paper-type,ink-type,direct-steam,solvent-type,type-on-cylinder,press-type,press,unit-number,cylinder-size,paper-mill-location,plating-tank,proof-cut,viscosity,caliper,ink-temperature,humifity,roughness,blade-pressure,varnish-pct,press-speed,ink-pct,solvent-pct,ESA-Voltage,ESA-Amperage,wax,hardener,roller-durometer,current-density,anode-space-ratio,chrome-content,band-type
0,19910108,X126,TVGUIDE,25503,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,2,TABLOID,NorthUS,1911,1.16,-0.62,-1.12,1.28,-0.07,0.14,-1.27,1.13,-0.38,-0.98,-0.65,-0.57,-0.1,0.19,0.04,-0.18,0.4,0.39,0.22,band
1,19910109,X266,TVGUIDE,25503,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,2,TABLOID,NorthUS,1910,1.16,-0.62,0.36,-0.28,0.19,0.14,-1.27,0.13,0.24,-0.14,-0.02,-0.57,-0.1,0.19,-0.79,-0.18,0.4,0.39,0.22,noband
2,19910104,B7,MODMAT,47201,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,815,9,CATALOG,NorthUS,1910,1.98,-1.37,2.32,0.5,0.19,-0.02,-0.11,0.11,0.08,-0.35,0.37,-0.57,-0.1,0.74,-0.24,1.22,0.4,0.17,0.22,noband
3,19910104,T133,MASSEY,39039,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,816,9,CATALOG,NorthUS,1910,0.81,-1.37,0.36,0.5,-0.46,-2.19,-0.11,-0.03,-1.1,-0.01,0.07,-0.57,-0.1,0.19,0.86,1.22,0.4,1.01,0.22,noband
4,19910111,J34,KMART,37351,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,816,2,TABLOID,NorthUS,1910,0.58,-0.62,0.36,1.28,0.19,0.14,-0.11,-0.89,0.85,0.35,1.19,1.58,-0.1,-0.18,-1.06,0.05,0.4,0.73,0.22,noband
5,19910104,T218,MASSEY,38039,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,816,2,CATALOG,NorthUS,1910,0.58,-1.37,-0.13,1.13,-0.33,-1.53,-0.34,0.44,-1.1,-0.35,-0.29,1.58,-0.1,0.19,-0.51,1.22,0.4,0.17,0.22,noband
6,19910111,X249,ROSES,35751,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,827,2,TABLOID,CANADIAN,1911,0.58,-0.62,0.36,0.89,-0.46,0.14,-0.11,-0.89,2.39,1.3,-0.32,2.01,-0.1,0.19,-1.06,-1.12,0.4,0.73,0.22,noband
7,19910111,X788,ROSES,35751,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,827,9,TABLOID,CANAdiAN,1911,0.58,-0.62,-1.12,0.89,-0.46,0.14,-0.34,-0.89,2.39,1.3,-0.32,2.01,-0.1,0.19,0.31,-1.12,0.4,0.73,0.22,noband
8,19910112,M372,MODMAT,47201,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,XYLOL,YES,Albert70,802,7,CATALOG,NorthUS,1910,0.58,-0.74,1.35,-2.64,-1.11,0.14,3.4,-0.89,-0.53,0.87,0.37,0.08,-0.1,1.11,0.04,1.22,0.4,0.04,0.22,band
9,19910114,I320,CHILDCRAFT,37000,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,815,2,CATALOG,NorthUS,1911,2.33,-0.99,0.84,0.5,-0.46,1.47,0.13,2.61,-0.23,-1.93,-2.04,-0.57,-0.1,1.11,0.04,0.76,0.4,0.73,0.22,noband
10,19910114,I337,CHILDCRAFT,37000,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,815,9,CATALOG,NorthUS,1910,2.33,-0.99,-1.12,0.5,-1.37,0.14,-0.11,1.5,-0.23,-1.36,-0.81,-0.57,-0.1,1.11,0.04,0.76,0.4,0.71,0.22,noband
11,19910111,X352,HANOVRHOUSE,35539,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,2,TABLOID,NorthUS,1911,0.58,-0.12,1.35,-1.07,0.19,0.14,1.06,0.73,-0.38,-0.58,-0.53,-0.57,-0.1,0.19,0.04,0.76,0.4,0.39,0.22,band
12,19910117,X67,HANOVRHOUS,35539,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,7,TABLOID,NorthUS,1911,0.58,-0.12,0.36,-0.28,-1.11,1.47,-0.11,0.65,-0.69,-1.07,0.43,-0.57,-0.1,0.74,0.04,0.76,0.4,0.73,0.22,band
13,19910125,X817,GUIDEPOSTS,23052,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,7,TABLOID,NorthUS,1911,-0.59,-0.74,0.36,-0.68,-1.11,-0.53,-0.69,-0.89,-1.0,0.73,0.58,-0.57,-0.1,-0.74,0.04,1.22,0.4,-0.61,0.22,band
14,19910117,X273,HANOVRHOUS,35539,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,2,TABLOID,NorthUS,1911,0.58,-0.99,-0.13,0.5,-0.46,1.47,-1.27,1.55,-0.69,-1.17,-1.17,-0.57,-0.1,0.19,0.04,0.76,0.4,0.04,0.22,noband
15,19910103,F108,MODMAT,47201,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter70,813,9,CATALOG,NorthUS,1911,0.0,-0.74,-0.63,-0.28,1.1,1.47,0.0,-0.89,-1.3,1.3,-0.32,-0.57,-0.1,0.19,0.04,1.22,0.4,0.04,0.22,band
16,19910129,F237,HOMESHOP,38064,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter70,813,5,CATALOG,CANADIAN,1911,-1.76,-0.74,-1.12,-1.07,-1.76,-0.02,0.0,-0.89,-0.69,1.3,-0.32,-0.57,-0.1,0.19,-0.51,-0.42,0.4,-0.61,0.22,noband
17,19910129,F267,HOMESHOP,38064,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter70,813,1,CATALOG,CANADIAN,1911,-1.76,-0.74,-1.12,0.11,-1.76,-0.02,0.0,0.02,-0.69,0.6,-0.99,-0.57,-0.1,0.19,2.23,-0.42,0.4,-0.61,0.22,noband
18,19910123,S21,USCAV,35521,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,813,5,CATALOG,CANADIAN,1910,1.75,-1.62,-0.13,0.81,-1.89,0.14,0.0,0.81,-1.3,-0.14,-1.35,-0.57,-0.1,0.19,0.04,-0.65,0.4,0.04,0.22,noband
19,19910123,F492,USCAV,35521,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,813,1,CATALOG,CANADIAN,1911,1.75,-1.62,0.84,0.89,-1.63,0.14,0.0,0.14,-1.3,0.11,-0.44,-0.57,-0.1,-2.39,1.13,-0.65,0.4,0.04,0.22,noband
20,19910130,X799,COLORTIL,37571,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,NAPTHA,NO,Motter94,824,2,TABLOID,CANADIAN,1911,0.58,-0.74,-0.63,0.5,-1.11,0.47,-0.11,-0.89,1.77,0.6,0.79,-0.57,-0.1,-1.29,0.04,-1.12,0.4,0.88,0.22,noband
21,19910130,X823,COLORTIL,35751,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,NAPTHA,YES,Motter94,824,9,TABLOID,CANADIAN,1911,-0.59,-0.74,-1.12,-0.28,-0.33,0.47,-0.11,-0.89,1.77,1.3,-0.32,-0.57,-0.1,-2.58,0.04,-1.12,0.4,0.88,0.22,noband
22,19910117,X163,WARDS,37340,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,2,TABLOID,CANADIAN,1911,-1.76,-0.99,-1.12,0.73,-1.11,0.47,-0.69,-0.71,1.16,0.47,0.64,1.15,-0.1,-0.74,0.04,-1.12,0.4,-1.24,0.22,noband
23,19910127,O4,TARGET,35816,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,827,2,SPIEGEL,CANADIAN,1911,-0.59,-1.24,-1.12,0.34,-0.85,1.47,-0.11,-0.89,0.54,1.3,-0.32,-0.57,-0.1,0.19,0.04,-1.12,0.4,0.88,0.22,band
